ID,Name,Address,Major,Degree,GPA,GPARank,Semester,Y,Status
999,CK. Brown,Denver,Applied Sc,Associate degree,4.0,High,Sum1,1989,International Student
961,QT. Brady,Pine Bluff,Computer Sc,Associate degree,3.8,High,Sum2,1987,International Student
962,UL. Jones,Little Rock,Computer Sc,Associate degree,3.1,High,Sum2,1984,Out of state
970,Bf. Brady,Little Rock,Applied Sc,Associate degree,3.2,High,Sum1,1992,Out of state
975,CM. Cook,Little Rock,Biology,Bachelor of Science,2.2,Medium,F,1987,Out of state
412,DP. Morty,Atlanta,Biology,Bachelor of Art,3.9,High,S,1984,Out of state
971,UK. Yu,Conway,Secondary Ed,Master of Science,3.2,High,F,1990,Out of state
989,Li. Mooshe,Atlanta,Secondary Ed,Master of Science,3.9,High,F,1990,Non-of-the above
998,Di. Morgan,Conway,Biology,Master of Science,3.9,High,S,1987,Non-of-the above
964,YH. Brady,Conway,Applied Sc,Bachelor of Art,3.2,High,Sum1,1987,Non-of-the above
977,WT. Brady,Conway,Applied Sc,Bachelor of Art,3.2,High,Sum2,1987,Non-of-the above
987,AC. Bank,Conway,Applied Sc,Bachelor of Art,3.2,High,Sum2,1987,Non-of-the above
988,TP. Kim,Conway,Elementary Ed,Bachelor of Science,3.2,High,Sum1,1990,Non-of-the above
902,CY. Crema,Little Rock,Biology,Bachelor of Science,2.2,Medium,S,1987,Non-of-the above
969,D. Abuly,Savannah,Economics,Bachelor of Science,3.9,High,S,1990,
968,G. Halky,Atlanta,Business Admin,Bachelor of Science,2.9,Medium,S,1990,
967,W.Goast,Savannah,Accounting,Bachelor of Science,4.1,High,F,1990,
833,T. Chenty,Conway,Elementary Ed,Associate degree,3.2,High,Sum1,1991,
124,U. Algy,Denver,Applied Sc,Associate degree,4.0,High,S,1992,International Student
976,YI. Torgan,Conway,Biology,Associate degree,3.9,High,S,1987,International Student
100,D. Reddyg,Seattle,Information Sc,Master of Science,2.1,Medium,F,1990,International Student
969,Y. Bankrpt,Conway,Applied Sc,Master of Science,3.2,High,Sum1,1987,Out of state
901,UI. Wagon,Little Rock,Computer Sc,Master of Science,3.1,High,Sum1,1984,Out of state
902,C. Browner,Denver,Applied Sc,Master of Science,4.0,High,S,1989,Out of state
777,F. Anglic,Atlanta,Biology,Bachelor of Science,3.9,High,S,1990,Non-of-the above
779,BB. Goofan,Atlanta,Chemistry,Bachelor of Science,2.1,Medium,F,1991,Non-of-the above
933,GG. Art,Savannah,English,Bachelor of Art,3.1,High,Sum2,1991,Non-of-the above
941,BB. Mercy,Savannah,English,Master of Art,4.0,High,Sum2,1991,Non-of-the above
667,K. Chen,Conway,Elementary Ed,Doctor of Education,3.2,High,Sum2,1992,Out of state
529,M. Yu,Conway,Secondary Ed,Master of Science,3.2,High,S,1990,International Student
552,K. Ahmad,Atlanta,Secondary Ed,Doctor of Education,3.9,High,Invalid Date,1987,Out of state
687,Y. Morty,Atlanta,Computer Sc,Bachelor of Science,3.9,High,Sum1,1984,Non-of-the above
688,Y. Crema,Little Rock,Biology,Associate degree,2.2,Medium,Sum1,1987,Non-of-the above
653,C. Alshukri,Denver,Applied Sc,Doctor of Philosophy,4.0,High,F,1991,Out of state
986,Q. Brady,Pine Bluff,Computer Sc,Master of Science,3.8,High,S,1987,Non-of-the above
579,U. Jones,Little Rock,Computer Sc,Bachelor of Science,3.1,High,S,1984,Non-of-the above
200,B. Brady,Little Rock,Applied Sc,Doctor of Philosophy,3.2,High,S,1992,International Student
300,C. Cook,Little Rock,Biology,Bachelor of Science,2.2,Medium,Sum1,1987,International Student
422,U. Yu,Conway,Secondary Ed,Master of Science,3.2,High,S,1990,Out of state
423,U. Mooshe,Atlanta,Secondary Ed,Doctor of Education,3.9,High,Sum1,1990,Out of state
401,D. Morgan,Conway,Biology,Bachelor of Science,3.9,High,Sum1,1987,International Student
201,W. Brady,Conway,Applied Sc,Doctor of Philosophy,3.2,High,S,1987,International Student
202,A. Bank,Conway,Applied Sc,Doctor of Philosophy,3.2,High,Sum1,1987,Non-of-the above
415,T. King,Conway,Elementary Ed,Doctor of Education,3.2,High,Sum2,1990,Non-of-the above
901,C. Crema,Little Rock,Biology,Associate degree,2.2,Medium,Sum1,1987,Out of state
222,D. Abul,Savannah,Economics,Bachelor of Art,3.9,High,Sum2,1990,Non-of-the above
333,G. Halk,Atlanta,Business Admin,Master of Business Administration,2.9,Medium,Sum2,1990,Non-of-the above
431,W.Goos,Savannah,Accounting,Bachelor of Art,4.1,High,Sum2,1990,Out of state
