ID,Name,Address,Major,Degree,GPA,Semester,Y,Status
999,CK. Brown,Denver,Applied Sc,AS,4.0,Sum1,1989,International Student
961,QT. Brady,Pine Bluff,Computer Sc,AS,3.8,Sum2,1987,International Student
962,UL. Jones,Little Rock,Computer Sc,AS,3.1,Sum2,1984,Out of state
970,Bf. Brady,Little Rock,Applied Sc,AS,3.2,Sum1,1992,Out of state
975,CM. Cook,Little Rock,Biology,BS,2.2,F,1987,Out of state
412,DP. Morty,Atlanta,Biology,BA,3.9,S,1984,Out of state
971,UK. Yu,Conway,Secondary Ed,MS,3.2,F,1990,Out of state
989,Li. Mooshe,Atlanta,Secondary Ed,MS,3.9,F,1990,Non-of-the above
998,Di. Morgan,Conway,Biology,MS,3.9,S,1987,Non-of-the above
964,YH. Brady,Conway,Applied Sc,BA,3.2,Sum1,1987,Non-of-the above
977,WT. Brady,Conway,Applied Sc,BA,3.2,Sum2,1987,Non-of-the above
987,AC. Bank,Conway,Applied Sc,BA,3.2,Sum2,1987,Non-of-the above
988,TP. Kim,Conway,Elementary Ed,BS,3.2,Sum1,1990,Non-of-the above
902,CY. Crema,Little Rock,Biology,BS,2.2,S,1987,Non-of-the above
969,D. Abuly,Savannah,Economics,BS,3.9,S,1990,
968,G. Halky,Atlanta,Business Admin,BS,2.9,S,1990,
967,W.Goast,Savannah,Accounting,BS,4.1,F,1990,
833,T. Chenty,Conway,Elementary Ed,AS,3.2,Sum1,1991,
124,U. Algy,Denver,Applied Sc,AS,4.0,S,1992,International Student
976,YI. Torgan,Conway,Biology,AS,3.9,S,1987,International Student
100,D. Reddyg,Seattle,Information Sc,MS,2.1,F,1990,International Student
969,Y. Bankrpt,Conway,Applied Sc,MS,3.2,Sum1,1987,Out of state
901,UI. Wagon,Little Rock,Computer Sc,MS,3.1,Sum1,1984,Out of state
902,C. Browner,Denver,Applied Sc,MS,4.0,S,1989,Out of state
777,F. Anglic,Atlanta,Biology,BS,3.9,S,1990,Non-of-the above
779,BB. Goofan,Atlanta,Chemistry,BS,2.1,F,1991,Non-of-the above
933,GG. Art,Savannah,English,BA,3.1,Sum2,1991,Non-of-the above
941,BB. Mercy,Savannah,English,MA,4.0,Sum2,1991,Non-of-the above
667,K. Chen,Conway,Elementary Ed,EdD,3.2,Sum2,1992,Out of state
529,M. Yu,Conway,Secondary Ed,MS,3.2,S,1990,International Student
552,K. Ahmad,Atlanta,Secondary Ed,EdD,3.9,Invalid Date,1987,Out of state
687,Y. Morty,Atlanta,Computer Sc,BS,3.9,Sum1,1984,Non-of-the above
688,Y. Crema,Little Rock,Biology,AS,2.2,Sum1,1987,Non-of-the above
653,C. Alshukri,Denver,Applied Sc,PhD,4.0,F,1991,Out of state
986,Q. Brady,Pine Bluff,Computer Sc,MS,3.8,S,1987,Non-of-the above
579,U. Jones,Little Rock,Computer Sc,BS,3.1,S,1984,Non-of-the above
200,B. Brady,Little Rock,Applied Sc,PhD,3.2,S,1992,International Student
300,C. Cook,Little Rock,Biology,BS,2.2,Sum1,1987,International Student
422,U. Yu,Conway,Secondary Ed,MS,3.2,S,1990,Out of state
423,U. Mooshe,Atlanta,Secondary Ed,EdD,3.9,Sum1,1990,Out of state
401,D. Morgan,Conway,Biology,BS,3.9,Sum1,1987,International Student
201,W. Brady,Conway,Applied Sc,PhD,3.2,S,1987,International Student
202,A. Bank,Conway,Applied Sc,PhD,3.2,Sum1,1987,Non-of-the above
415,T. King,Conway,Elementary Ed,EdD,3.2,Sum2,1990,Non-of-the above
901,C. Crema,Little Rock,Biology,AS,2.2,Sum1,1987,Out of state
222,D. Abul,Savannah,Economics,BA,3.9,Sum2,1990,Non-of-the above
333,G. Halk,Atlanta,Business Admin,MBA,2.9,Sum2,1990,Non-of-the above
431,W.Goos,Savannah,Accounting,BA,4.1,Sum2,1990,Out of state
421,T. Chen,Conway,Elementary Ed,EdD,3.2,Sum2,1991,International Student
524,U. Alramzy,Denver,Applied Sc,PhD,4.0,F,1992,International Student
689,Y. Morgan,Conway,Biology,BS,3.9,Sum1,1987,Non-of-the above
195,D. Red,Seattle,Information Sc,BS,2.1,F,1990,Out of state
703,Y. Bank,Conway,Applied Sc,PhD,3.2,Sum2,1987,Out of state
665,Z. Silver,Seattle,Elementary Ed,EdD,3.3,Sum2,1991,International Student
739,A. Moon,Little Rock,Computer Sc,BS,3.1,Sum1,1984,Non-of-the above
839,Q. Robe,Pine Bluff,Computer Sc,MS,3.8,Sum1,1987,Non-of-the above
939,U. Wang,Little Rock,Computer Sc,AS,3.1,Sum2,1984,Out of state
500,K.Bronz,Dallas,Chemistry,MS,3.2,Sum1,1988,Out of state
132,A. White,Orlando,Computer Sc,AS,3.9,Sum2,1992,Non-of-the above
232,K. Blue,Little Rock,English,AS,3.1,Sum2,1991,International Student
352,C. Black,Pine Bluff,Applied Sc,PhD,3.8,Sum2,1990,Out of state
600,C. Jones,Dallas,Information Sc,BS,4.0,F,1988,Out of state
682,Y. Cook,Little Rock,Biology,BS,2.2,Sum1,1987,Out of state
452,N. Brady,Little Rock,Applied Sc,PhD,3.2,Sum2,1988,International Student
590,X. Cook,Little Rock,Biology,AS,2.2,Sum1,1992,Non-of-the above
690,D. Brown,Atlanta,Biology,BS,3.9,Sum1,1988,Non-of-the above
175,K. Glob,Dallas,Applied Sc,PhD,3.2,Sum1,1989,Non-of-the above
185,X. Jones,New York,Information Sc,BS,4.0,F,1990,Non-of-the above
700,A. Boss,Seattle,Elementary Ed,MS,3.3,Sum2,1984,International Student
800,K. Queen,Conway,Elementary Ed,EdD,3.2,Sum2,1989,Out of state
416,T. Gola,Conway,Secondary Ed,MS,3.2,S,1990,Non-of-the above
420,T. Silver,Seattle,Elementary Ed,EdD,3.3,Sum2,1991,Non-of-the above
900,B. Gola,Conway,Secondary Ed,MS,3.2,S,1987,International Student
955,K. Booth,Atlanta,Secondary Ed,MS,3.9,S,1987,Out of state
956,C. Jessy,Orlando,Applied Sc,MS,4.0,F,1989,Out of state
150,A. Cool,Orlando,Computer Sc,MS,3.9,Sum2,1986,International Student
250,K. Jones,Little Rock,Computer Sc,BS,3.1,Sum2,1986,Non-of-the above
350,C. Cool,Pine Bluff,Applied Sc,MS,4.0,Sum2,1986,Non-of-the above
229,M. Katchal,Savannah,Economics,BA,3.0,Sum2,1991,Non-of-the above
339,H.Poory,Atlanta,Business Admin,BA,3.9,Sum2,1987,Non-of-the above
439,H. Mishu,Savannah,Accounting,BA,2.8,Sum2,1987,Out of state
329,G. Kooper,Savannah,Accounting,BA,3.0,Sum2,1991,Non-of-the above
339,M. Bayraq,Savannah,Business Admin,MBA,3.9,Sum2,1987,Non-of-the above
337,N. Mikhy,Savannah,Business Admin,BA,2.8,Sum2,1987,Out of state
650,D. Sorty,Atlanta,Biology,BS,3.9,Sum1,1984,Non-of-the above
750,K.Gold,Dallas,Applied Sc,PhD,3.2,Sum1,1984,Non-of-the above
850,F. Jones,New York,Information Sc,BS,4.0,F,1985,International Student
950,D. Golden,Seattle,Information Sc,BS,2.1,F,1985,International Student
