ID,Name,Address,Major,Degree,GPA,Semester,Y,Status
999,CK. Brown,Denver,Applied Sc,AS,4.0,Sum1,89,I
961,QT. Brady,Pine Bluff,"Computer
Sc",AS,3.8,Sum2,87,I
962,UL. Jones,Little Rock,"Computer
Sc",AS,3.1,Sum2,84,O
970,Bf. Brady,Little Rock,Applied Sc,AS,3.2,Sum1,92,O
975,CM. Cook,Little Rock,Biology,BS,2.2,F,87,O
412,DP. Morty,Atlanta,Biology,BA,3.9,S,84,O
971,UK. Yu,Conway,Secondary,MS,3.2,F,90,O
989,Li. Mooshe,Atlanta,Secondary,MS,3.9,F,90,N
998,Di. Morgan,Conway,Biology,MS,3.9,S,87,N
964,YH. Brady,Conway,Applied Sc,BA,3.2,Sum1,87,N
977,WT. Brady,Conway,Applied Sc,BA,3.2,Sum2,87,N
987,AC. Bank,Conway,Applied Sc,BA,3.2,Sum2,87,N
988,TP. Kim,Conway,Elementary,BS,3.2,Sum1,90,N
902,CY. Crema,Little Rock,Biology,BS,2.2,S,87,N
969,D. Abuly,Savannah,Economics,BS,3.9,S,90,
968,G. Halky,Atlanta,B Admin,BS,2.9,S,90,
967,W.Goast,Savannah,Accounting,BS,4.1,F,90,
833,T. Chenty,Conway,Elementary,AS,3.2,Sum1,91,
124,U. Algy,Denver,Applied Sc,AS,4.0,S,92,I
976,YI. Torgan,Conway,Biology,AS,3.9,S,87,I
100,D. Reddyg,Seattle,Info Sc,MS,2.1,F,90,I
969,Y. Bankrpt,Conway,Applied Sc,MS,3.2,Sum1,87,O
901,UI. Wagon,Little Rock,Computer S,MS,3.1,Sum1,84,O
902,C. Browner,Denver,Applied Sc,MS,4.0,S,89,O
777,F. Anglic,Atlanta,Biology,BS,3.9,S,90,N
779,BB. Goofan,Atlanta,Chemistry,BS,2.1,F,91,N
933,GG. Art,Savannah,English,BA,3.1,Sum2,1991,N
941,BB. Mercy,Savannah,English,MA,4.0,Sum2,1991,N
356,C. Brown,Denver,Applied Sc,PhD,4.0,F,1989,I
667,K. Chen,Conway,Elementary,EdD,3.2,Sum2,1992,O
529,M. Yu,Conway,Secondary,MS,3.2,S,1990,I
552,K. Ahmad,Atlanta,Secondary,EdD,3.9,Invalid Date,1987,O
687,Y. Morty,Atlanta,Computer Sc,BS,3.9,Sum1,1984,N
688,Y. Crema,Little Rock,Biology,AS,2.2,Sum1,1987,N
653,C. Alshukri,Denver,Applied Sc,PhD,4.0,F,1991,O
100,A. Jones,Little Rock,Computer Sc,BS,3.1,S,1984,I
986,Q. Brady,Pine Bluff,Computer Sc,MS,3.8,S,1987,N
579,U. Jones,Little Rock,Computer Sc,BS,3.1,S,1984,N
200,B. Brady,Little Rock,Applied Sc,PhD,3.2,S,1992,I
300,C. Cook,Little Rock,Biology,BS,2.2,Sum1,1987,I
400,D. Morty,Atlanta,Biology,BS,3.9,Sum1,1984,N
422,U. Yu,Conway,Secondary,MS,3.2,S,1990,O
423,U. Mooshe,Atlanta,Secondary,EdD,3.9,Sum1,1990,O
401,D. Morgan,Conway,Biology,BS,3.9,Sum1,1987,I
702,Y. Brady,Conway,Applied Sc,PhD,3.2,S,1987,I
201,W. Brady,Conway,Applied Sc,PhD,3.2,S,1987,I
202,A. Bank,Conway,Applied Sc,PhD,3.2,Sum1,1987,N
415,T. King,Conway,Elementary,EdD,3.2,Sum2,1990,N
901,C. Crema,Little Rock,Biology,AS,2.2,Sum1,1987,O
222,D. Abul,Savannah,Economics,BA,3.9,Sum2,1990,N
333,G. Halk,Atlanta,B Admin,MBA,2.9,Sum2,1990,N
431,W.Goos,Savannah,Accounting,BA,4.1,Sum2,1990,O
421,T. Chen,Conway,Elementary,EdD,3.2,Sum2,1991,I
524,U. Alramzy,Denver,Applied Sc,PhD,4.0,F,1992,I
689,Y. Morgan,Conway,Biology,BS,3.9,Sum1,1987,N
195,D. Red,Seattle,Info Sc,BS,2.1,F,1990,O
703,Y. Bank,Conway,Applied Sc,PhD,3.2,Sum2,1987,O
665,Z. Silver,Seattle,Elementary,EdD,3.3,Sum2,1991,I
739,A. Moon,Little Rock,Computer Sc,BS,3.1,Sum1,1984,N
839,Q. Robe,Pine Bluff,Computer Sc,MS,3.8,Sum1,1987,N
939,U. Wang,Little Rock,Computer Sc,AS,3.1,Sum2,1984,O
356,C. Brown,Denver,Applied Sc,PhD,4.0,F,1989,O
500,K.Bronz,Dallas,Chemistry,MS,3.2,Sum1,1988,O
132,A. White,Orlando,Computer Sc,AS,3.9,Sum2,1992,N
100,A. Jones,Little Rock,Computer Sc,MS,3.2,S,1987,N
232,K. Blue,Little Rock,English,AS,3.1,Sum2,1991,I
352,C. Black,Pine Bluff,Applied,PhD,3.8,Sum2,1990,O
600,C. Jones,Dallas,Info Sc,BS,4.0,F,1988,O
680,Y. Brady,Pine Bluff,Computer Sc,MS,3.8,S,1990,O
682,Y. Cook,Little Rock,Biology,BS,2.2,Sum1,1987,O
400,D. Morty,Seattle,Info Sc,BS,2.1,F,1988,I
452,N. Brady,Little Rock,Applied Sc,PhD,3.2,Sum2,1988,I
590,X. Cook,Little Rock,Biology,AS,2.2,Sum1,1992,N
690,D. Brown,Atlanta,Biology,BS,3.9,Sum1,1988,N
175,K. Glob,Dallas,Applied Sc,PhD,3.2,Sum1,1989,N
681,Y. Brady,Little Rock,Applied Sc,PhD,3.2,S,1991,N
185,X. Jones,New York,Info Sc,BS,4.0,F,1990,N
700,A. Boss,Seattle,Elementary,MS,3.3,Sum2,1984,I
800,K. Queen,Conway,Elementary,EdD,3.2,Sum2,1989,O
416,T. Gola,Conway,Secondary,MS,3.2,S,1990,N
420,T. Silver,Seattle,Elementary,EdD,3.3,Sum2,1991,N
900,B. Gola,Conway,Secondary,MS,3.2,S,1987,I
955,K. Booth,Atlanta,Secondary,MS,3.9,S,1987,O
956,C. Jessy,Orlando,Applied Sc,MS,4.0,F,1989,O
150,A. Cool,Orlando,Computer Sc,MS,3.9,Sum2,1986,I
250,K. Jones,Little Rock,Computer Sc,BS,3.1,Sum2,1986,N
350,C. Cool,Pine Bluff,Applied,MS,4.0,Sum2,1986,N
229,M. Katchal,Savannah,Economics,BA,3.0,Sum2,1991,N
339,H.Poory,Atlanta,B Admin,BA,3.9,Sum2,1987,N
439,H. Mishu,Savannah,Accounting,BA,2.8,Sum2,1987,O
329,G. Kooper,Savannah,Accounting,BA,3.0,Sum2,1991,N
339,M. Bayraq,Savannah,MBA,MBA,3.9,Sum2,1987,N
337,N. Mikhy,Savannah,B Admin,BA,2.8,Sum2,1987,O
650,D. Sorty,Atlanta,Biology,BS,3.9,Sum1,1984,N
750,K.Gold,Dallas,Applied Sc,PhD,3.2,Sum1,1984,N
850,F. Jones,New York,Info Sc,BS,4.0,F,1985,I
950,D. Golden,Seattle,Info Sc,BS,2.1,F,1985,I
165,A. Silver,Seattle,Elementary,MS,3.3,Sum2,1985,O
418,T. Brown,Denver,Applied Sc,PhD,4.0,F,1992,O
419,T. Red,Seattle,Info Sc,BS,2.1,F,1992,O
215,K. King,Conway,Elementary,EdD,3.2,Sum2,1984,N
315,M. Gola,Conway,English,MS,3.2,S,1984,N
255,K. Dool,Atlanta,Engl,MS,3.9,Sum1,1986,N
299,M. Golab,Seatel,Chemistry,BS,3.0,S,1992,N
199,K. Duell,Atlanta,Biology,AS,4.0,F,1988,I
473,M. Browny,Seattle,CS,PhD,4.0,S,1992,I
407,T. Doolak,Seattle,BusinessAD,MBA,3.1,Sum1,1992,O
205,K. Minges,Conway,Elementary,EdD,3.2,Sum2,1984,N
305,H. Molar,Conway,Biology,MS,3.2,Sum1,1984,N
207,K. Goolar,Atlanta,Chemistry,MS,3.9,Sum1,1986,N
107,M. Kochaal,Savannah,Chemistry,BS,3.9,S,1992,N
305,M. Searsy,Conway,Biol,MS,3.2,Sum1,1984,N
207,P. Little,Atlanta,Chemistry,MS,3.9,Sum1,1986,N
107,M. Big,Little Rock,Chemistry,BS,3.9,S,1992,O
109,P. Board,Atlanta,Chem,AS,4.0,F,1988,I
305,M. Korp,Conway,Biology,MS,3.2,Sum1,1984,N
109,G. Bear,Little Rock,Biology,AS,4.0,F,1988,O
591,Z. Kochaal,Savannah,Chemistry,BS,3.9,S,1992,N
391,X. Searsy,Conway,Biology,MS,3.2,Sum1,1984,N
201,Y. Little,Atlanta,Chemistry,MS,3.9,Sum1,1986,N
117,W. Big,Little Rock,Chemistry,BS,3.9,S,1992,O
612,V. Board,Atlanta,Chemistry,AS,4.0,F,1988,I
305,M. Kartsoo,Conway,Biology,MS,3.2,Sum1,1984,N
609,N. Gearsal,Little Rock,Biology,BS,4.0,F,1988,O
615,K. Jiring,Conway,Element.,BA,3.2,Sum2,1984,N
715,M. Chendo,Conway,Secondary,MS,3.2,S,1984,N
855,Z. Megart,Atlanta,Secondary,MS,3.9,Sum1,1986,N
699,A. Woo,Seattle,Elementary,BA,3.0,S,1992,N
933,CC. Artian,Atlanta,English,BA,2.9,Sum2,1991,N
941,D. Merdoo,Atlanta,English,MA,2.8,Sum2,1991,N
